       [,1] [,2] 
  [1,]   29  150  [56,]   10    0
  [2,]   59  150  [57,]   11    0
  [3,]  110  150  [58,]    9    0
  [4,]  132  150  [59,]   10    0
  [5,]  150  150  [60,]   24    0
 [14,]  126  150  [61,]   61   70
 [15,]  141  150  [62,]   63   65
 [16,]  149  150  [64,]   69   55
 [17,]   26    0  [65,]   73   50
 [18,]   28    0  [67,]    0   50
 [21,]   38    0  [68,]   22   50
 [22,]    0    0  [74,]   31   50
 [23,]    0    0  [75,]   28   50
 [24,]   15    0  [81,]   38   50
 [25,]   19    0  [82,]   60  115
 [45,]   15    0  [93,]   36   50
 [46,]   19    0  [94,]   35   50
 [47,]   24    0 [104,]   84   98
 [48,]   32    0 [105,]  112  150
 [49,]   28    0 [106,]  150  150
 [53,]   13    0 [111,]  140  150
 [54,]    9    0 [118,]  119  100
 [55,]    8    0 [119,]  139  100
                 [120,]  150  100
























