       [,1] [,2]
  [1,]    0  150 [100,]    0   10
  [2,]    0  150 [101,]    0   15
 [15,]  132  150 [102,]    0   20
 [16,]  141  150 [103,]    0   56
 [17,]    0    0 [104,]    0   98
 [52,]    0    0 [105,]  132  150
 [53,]    0    0 [106,]  150  150
 [54,]    0    0 [107,]  132  150
 [59,]    0    0 [108,]  150  150
 [60,]    0    0 [109,]  132  150
 [61,]    0   70 [110,]  150  150
 [73,]    0   50 [111,]  132  150
 [74,]    0   50 [112,]  150  150
 [75,]    0   50 [113,]  132  100
 [76,]    0   50 [114,]  144  100
 [81,]    0   50 [115,]  132  100
 [82,]    0  115 [116,]  144  100
 [97,]    0   50 [117,]  132  100
 [98,]    0   50 [118,]  144  100
 [99,]    0   50 [119,]  132  100
                 [120,]  144  100





















